mal_id,title,combined_features,url
1,Cowboy Bebop,"action__award_winning__sci-fi adult_cast__space sunrise unknown tv crime is timeless. by the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on earth. these new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

spike spiegel and jet black pursue criminals throughout space to make a humble living. beneath his goofy and aloof demeanor, spike is haunted by the weight of his violent past. meanwhile, jet manages his own troubled memories while taking care of spike and the bebop, their ship. the duo is joined by the beautiful con artist faye valentine, odd child edward wong hau pepelu tivrusky iv, and ein, a bioengineered welsh corgi.

while developing bonds and working to catch a colorful cast of criminals, the bebop crew's lives are disrupted by a menace from spike's past. as a rival's maniacal plot continues to unravel, spike must choose between life with his newfound family or revenge for his old wounds.

[written by mal rewrite]",https://myanimelist.net/anime/1/Cowboy_Bebop
5,Cowboy Bebop: Tengoku no Tobira,"action__sci-fi adult_cast__space bones unknown movie another day, another bounty—such is the life of the often unlucky crew of the bebop. however, this routine is interrupted when faye, who is chasing a fairly worthless target on mars, witnesses an oil tanker suddenly explode, causing mass hysteria. as casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.

with lives at stake and a solution to their money problems in sight, the bebop crew springs into action. spike, jet, faye, and edward, followed closely by ein, split up to pursue different leads across alba city. through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.

[written by mal rewrite]",https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
6,Trigun,"action__adventure__sci-fi adult_cast madhouse shounen tv vash the stampede is the man with a $$60,000,000,000 bounty on his head. the reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""the humanoid typhoon."" he leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. in actuality, vash is a huge softie who claims to have never taken a life and avoids violence at all costs.

with his crazy doughnut obsession and buffoonish attitude in tow, vash traverses the wasteland of the planet gunsmoke, all the while followed by two insurance agents, meryl stryfe and milly thompson, who attempt to minimize his impact on the public. but soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.

[written by mal rewrite]",https://myanimelist.net/anime/6/Trigun
7,Witch Hunter Robin,"action__drama__mystery__supernatural detective sunrise unknown tv though hidden away from the general public, witches—those with supernatural powers—have always existed in human societies. neither numerous nor inherently evil, witches are nonetheless capable of creating disorder by misusing their powers for criminal means. the task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the solomon organization.

having finished her training in italy, robin sena transfers to solomon's local japanese branch, stnj. possessing powerful pyrokinetic abilities, she is herself a witch, putting her at odds with stnj's methods of dealing with rogue witches. in particular, robin opposes the use of an elixir called orbo, which can weaken or even neutralize a witch's powers. if robin wants to find her place within the organization, she must find a way to navigate the internal politics of solomon while also handling the threat of hostile witches—but both seem to be dangerous for very different reasons.

[written by mal rewrite]",https://myanimelist.net/anime/7/Witch_Hunter_Robin
8,Bouken Ou Beet,"action__adventure__fantasy unknown toei_animation shounen tv it is the dark century and the people are suffering under the rule of the devil, vandel, who is able to manipulate monsters. the vandel busters are a group of people who hunt these devils, and among them, the zenon squad is known to be the strongest busters on the continent. a young boy, beet, dreams of joining the zenon squad. however, one day, as a result of beet's fault, the zenon squad was defeated by the devil, beltose. the five dying busters sacrificed their life power into their five weapons, saiga. after giving their weapons to beet, they passed away. years have passed since then and the young vandel buster, beet, begins his adventure to carry out the zenon squad's will to put an end to the dark century.",https://myanimelist.net/anime/8/Bouken_Ou_Beet
15,Eyeshield 21,"sports team_sports gallop shounen tv shy, reserved, and small-statured, deimon high school student sena kobayakawa is the perfect target for bullies. however, as a result of running errands throughout his life, sena has become agile and developed a skill for avoiding crowds of people. after the cunning youichi hiruma—captain of the deimon devil bats football team—witnesses sena's rapid legs in motion, he coerces the timid boy into joining his squad.

as hiruma wants to conceal sena's identity from other clubs, sena is forced to hide under the visored helmet of ""eyeshield 21,"" a mysterious running back wearing the number 21 jersey. the legendary eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the united states during his time at the notre dame college.

accustomed to avoiding his problems in the past, sena's specialty might just help him become the new secret weapon of the deimon devil bats. as he interacts with his teammates, sena gradually gains more self-confidence and forges valuable bonds along the way.

[written by mal rewrite]",https://myanimelist.net/anime/15/Eyeshield_21
16,Hachimitsu to Clover,"comedy__drama__romance adult_cast__love_polygon__visual_arts j.c.staff josei tv yuuta takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric shinobu morita, who keeps failing to graduate due to his absenteeism, and the sensible takumi mayama, who acts as a proper senior to takemoto, often looking out for him.

takemoto had not given much thought to his future until one fine spring day, when he meets the endearing hagumi hanamoto and falls in love at first sight. incredibly gifted in the arts, hagumi enrolls in takemoto's university and soon befriends the popular pottery student ayumi yamada. ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.

hachimitsu to clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.

[written by mal rewrite]",https://myanimelist.net/anime/16/Hachimitsu_to_Clover
17,Hungry Heart: Wild Striker,"sports team_sports nippon_animation shounen tv as the younger brother of japanese soccer star seisuke kanou, kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. having fallen behind, he now lives in the shadow of his brother's success.

entering his freshman year at jouyou akanegaoka high school, kyousuke vows never to play soccer again. however, miki tsujiwaki, the captain of the girls' soccer team, and mori kazuto, the manager of the boys' team, recognize kyousuke's potential and want to see his return to the game for their own reasons.

with an opportunity to play soccer again, kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world.

[written by mal rewrite]",https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker
18,Initial D Fourth Stage,"action__drama racing a.c.g.t. seinen tv takumi fujiwara finally joins ryousuke and keisuke takahashi to create ""project d."" their goal is twofold: ryousuke wants to develop his ""high-speed street racing theory,"" while keisuke and takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. the idea of project d is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. in order to attract the attention of the best racing teams, ryousuke creates a dedicated website to announce the future battles of project d and post the team's results.

the fourth season of initial d details the hardships and successes of the members of project d as they try to become the best street racing team outside of gunma prefecture.

[written by mal rewrite]",https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
19,Monster,"drama__mystery__suspense adult_cast__psychological madhouse seinen tv dr. kenzou tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. that is until one night, a seemingly small event changes dr. tenma's life forever. while preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. his fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing dr. tenma to have a crisis of conscience.

so when a similar situation arises, dr. tenma stands his ground and chooses to perform surgery on the young boy johan liebert instead of the town's mayor. unfortunately, this choice leads to serious ramifications for dr. tenma—losing his social standing being one of them. however, with the mysterious death of the director and two other doctors, dr. tenma's position is restored. with no evidence to convict him, he is released and goes on to attain the position of hospital director. 

nine years later when dr. tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. he must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.

[written by mal rewrite]",https://myanimelist.net/anime/19/Monster
